2022/06/08 22:48:06 [error] 9000#10832: *302 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/themes.php"
2022/06/22 23:48:53 [error] 16104#5436: *189 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=27&action=edit"
2022/06/22 23:48:53 [error] 16104#5436: *190 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/templates?context=edit&post_type=page&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=27&action=edit"
2022/06/22 23:48:53 [error] 16104#5436: *169 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=27&action=edit"
2022/06/22 23:48:53 [error] 16104#5436: *187 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/themes?context=edit&status=active&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=27&action=edit"
2022/06/22 23:48:53 [error] 16104#5436: *187 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/themes?context=edit&status=active&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=27&action=edit"
2022/06/22 23:48:53 [error] 16104#5436: *169 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=27&action=edit"
2022/06/22 23:48:53 [error] 16104#5436: *188 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/templates?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=27&action=edit"
2022/06/22 23:48:53 [error] 16104#5436: *188 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/templates?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=27&action=edit"
2022/06/22 23:48:53 [error] 16104#5436: *190 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/templates?context=edit&post_type=page&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=27&action=edit"
2022/06/22 23:48:53 [error] 16104#5436: *189 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=27&action=edit"
